usage_count,destination_ip,hostname,timestamp,hop,hop_ip,rtt_ms,bandwidth_mbps
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,2,10.7.0.5,3.411667,3733.333333
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,3,172.16.4.4,4.034667,2807.225806
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,4,14.139.98.1,5.006333,3733.333333
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,5,10.117.81.253,4.163000,3577.777778
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,6,10.154.8.137,18.077333,2911.111111
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,7,10.255.239.170,18.544000,3266.666667
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,8,10.152.7.214,16.911667,3422.222222
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,9,157.240.66.204,28.351667,2800.000000
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,10,129.134.51.80,24.374667,3422.222222
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,11,157.240.58.186,15.607000,3422.222222
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,13,157.240.16.174,14.526000,2800.000000
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,1,172.29.144.1,0.230333,6533.333333
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,2,10.7.0.5,2.833333,4977.777778
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,3,172.16.4.4,3.644667,5600.000000
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,4,14.139.98.1,5.274000,3733.333333
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,5,10.117.81.253,3.208667,3733.333333
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,6,10.154.8.137,14.483000,3733.333333
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,7,10.255.239.170,17.005000,2862.222222
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,8,10.152.7.38,13.098000,2911.111111
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,9,157.240.68.238,26.087667,3733.333333
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,10,129.134.50.252,18.342000,3422.222222
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,11,129.134.84.44,15.258667,3733.333333
4,57.144.176.34,instagram.com,2025-04-15 11:09:48,13,57.144.176.34,16.814000,1866.666667
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,1,172.29.144.1,0.162667,5600.000000
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,2,10.7.0.5,3.123000,3733.333333
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,3,172.16.4.4,8.869333,1869.516539
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,4,14.139.98.1,66.783667,3733.333333
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,5,10.117.81.253,3.140667,3733.333333
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,6,10.154.8.137,36.805667,3733.333333
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,7,10.255.239.170,41.550333,3422.222222
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,8,10.152.7.38,22.919667,3733.333333
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,9,157.240.68.238,130.382000,3733.333333
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,10,129.134.50.252,53.245333,3328.888889
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,11,129.134.84.44,15.010667,3422.222222
5,57.144.176.34,instagram.com,2025-04-15 11:12:19,13,57.144.176.34,16.588000,3733.333333
4,142.250.183.14,google.com,2025-04-15 11:14:21,1,172.29.144.1,0.253667,5600.000000
4,142.250.183.14,google.com,2025-04-15 11:14:21,2,10.7.0.2,7.988000,3733.333333
4,142.250.183.14,google.com,2025-04-15 11:14:21,3,10.1.0.3,3.025333,3733.333333
4,142.250.183.14,google.com,2025-04-15 11:14:21,4,172.16.4.4,6.474667,3733.333333
4,142.250.183.14,google.com,2025-04-15 11:14:21,5,14.139.98.1,5.136333,3733.333333
4,142.250.183.14,google.com,2025-04-15 11:14:21,6,10.117.81.253,6.879333,3733.333333
4,142.250.183.14,google.com,2025-04-15 11:14:21,7,10.154.8.137,14.321333,3266.666667
4,142.250.183.14,google.com,2025-04-15 11:14:21,8,10.255.239.170,17.470000,3577.777778
4,142.250.183.14,google.com,2025-04-15 11:14:21,9,10.152.7.214,15.568333,3266.666667
4,142.250.183.14,google.com,2025-04-15 11:14:21,10,72.14.204.62,13.777667,3266.666667
4,142.250.183.14,google.com,2025-04-15 11:14:21,11,142.251.76.33,14.465667,3422.222222
4,142.250.183.14,google.com,2025-04-15 11:14:21,12,142.250.214.107,14.796000,2955.555556
4,142.250.183.14,google.com,2025-04-15 11:14:21,13,142.250.183.14,13.975000,N/A
